run_id,strategy,migration_time_s,downtime_s,packet_loss_during_migration_pct,latency_avg_pre_ms,latency_avg_during_ms,latency_avg_post_ms,state_inconsistency,state_size_bytes
run_262144_20251124T225844,precopy,1.2569379806518555,1.2933690547943115,26.31578947368421,3.880719298245614,4.008785714285715,0.0,0,15990917
run_1048576_20251124T225914,precopy,1.178302526473999,1.1964709758758545,26.31578947368421,7.568715254237288,37.97392857142857,37.85986666666667,3,62914693
run_1024_20251124T230549,precopy,1.0773918628692627,1.1006808280944824,17.647058823529413,1.8842407407407407,1.5971428571428572,1.738,1,60545
run_16384_20251124T230618,precopy,1.1475679874420166,1.1814839839935303,23.809523809523807,2.317441605839416,11.8260625,3.16925,1,983171
run_65536_20251124T230647,precopy,1.0828752517700195,1.095458984375,29.411764705882355,2.187675182481752,5.056666666666667,3.405,1,3932292
run_262144_20251124T230715,precopy,1.1425611972808838,1.154494047164917,23.809523809523807,3.120508896797153,15.527624999999999,7.123285714285714,3,15728773
run_1048576_20251124T230745,precopy,1.126493215560913,1.1578550338745117,38.46153846153847,9.387408163265306,11.23275,10.381,0,62914693
run_4194304_20251124T230815,precopy,1.3615648746490479,1.3636980056762695,6.25,27.70207462686567,220.9068,0.0,0,251658374
run_16777216_20251124T230848,precopy,1.2448923587799072,1.263936996459961,16.666666666666664,178.65738490566036,675.6246,0.0,0,704643206
run_1024_20251124T231103,precopy,1.342829942703247,1.3526966571807861,25.0,2.020682656826568,1.6719333333333333,0.0,0,61570
run_16384_20251124T231133,precopy,1.1369221210479736,1.1512360572814941,25.0,2.02076,1.9106,1.9995,1,999555
run_65536_20251124T231202,precopy,1.2060821056365967,1.2172720432281494,21.73913043478261,2.2611786941580756,12.458833333333333,2.6326666666666667,1,4325508
run_262144_20251124T231232,precopy,1.2089664936065674,1.2638039588928223,26.666666666666668,3.046217252396166,64.57081818181818,0.0,0,18350212
run_1048576_20251124T231304,precopy,1.2146074771881104,1.3041558265686035,29.411764705882355,7.207852233676976,12.464666666666666,31.467666666666666,0,62914692
run_4194304_20251124T231334,precopy,1.1380138397216797,1.304837942123413,5.88235294117647,25.511561194029852,210.63468749999998,132.0058,2,251658373
run_16777216_20251124T231406,precopy,1.7136874198913574,1.7392868995666504,18.181818181818183,170.85498501872658,414.1798888888889,0.0,0,704643206
run_16777216_20251124T235839,precopy,1.8756413459777832,1.8900034427642822,0.0,182.1859962406015,664.247,0.0,0,704643205
run_16777216_20251125T000329,precopy,1.530968189239502,1.5518903732299805,11.11111111111111,189.12146183206107,530.308125,0.0,0,687865990
